lesson_id,amis_text,chinese_translation,audio_url,source
1,Talacowa kiso?,你要去哪裡？,https://klokah.tw/extension/con_data/sound/3/place/3c1p1.mp3,klokah_xml_lesson
2,Cima ko ngangan iso?,你叫什麼名字？,https://klokah.tw/extension/con_data/sound/3/place/3c2p1.mp3,klokah_xml_lesson
3,Macahiw,肚子餓,https://klokah.tw/extension/con_data/sound/3/place/3c3p1.mp3,klokah_xml_lesson
4,Masamaan ko romi’ad anini?,今天的天氣怎麼樣？,https://klokah.tw/extension/con_data/sound/3/place/3c4p1.mp3,klokah_xml_lesson
5,Sakapina no pilipayan anini?,今天星期幾？,https://klokah.tw/extension/con_data/sound/3/place/3c5p1.mp3,klokah_xml_lesson
6,Milicay to lalan,問路,https://klokah.tw/extension/con_data/sound/3/place/3c6p1.mp3,klokah_xml_lesson
7,Pina ko ’aca,多少錢,https://klokah.tw/extension/con_data/sound/3/place/3c7p1.mp3,klokah_xml_lesson
8,Tayni masa’opo kiso anodafak?,你明天會來聚會嗎？,https://klokah.tw/extension/con_data/sound/3/place/3c8p1.mp3,klokah_xml_lesson
9,Fangcal ko pisanonoPangcah iso,你的族語說得很好,https://klokah.tw/extension/con_data/sound/3/place/3c9p1.mp3,klokah_xml_lesson
10,Kahofocan a romi’ad,生日的一天,https://klokah.tw/extension/con_data/sound/3/place/3c10p1.mp3,klokah_xml_lesson
11,Papina kamo a malakaka?,你有幾個兄弟姊妹？,https://klokah.tw/extension/con_data/sound/3/place/3c11p1.mp3,klokah_xml_lesson
12,O mimaanay ko tayal iso?,你的工作是什麼？,https://klokah.tw/extension/con_data/sound/3/place/3c12p1.mp3,klokah_xml_lesson
13,I kakomaenan,在餐廳裡,https://klokah.tw/extension/con_data/sound/3/place/3c13p1.mp3,klokah_xml_lesson
14,Mikalic to tosiya,坐公車,https://klokah.tw/extension/con_data/sound/3/place/3c14p1.mp3,klokah_xml_lesson
15,Adada,生病,https://klokah.tw/extension/con_data/sound/3/place/3c15p1.mp3,klokah_xml_lesson
16,Patingwa,打電話,https://klokah.tw/extension/con_data/sound/3/place/3c16p1.mp3,klokah_xml_lesson
17,O maan ko kakaenen iso?,你要吃什麼？,https://klokah.tw/extension/con_data/sound/3/place/3c17p1.mp3,klokah_xml_lesson
18,O maan ko tadakaolahan iso?,你的興趣是什麼？,https://klokah.tw/extension/con_data/sound/3/place/3c18p1.mp3,klokah_xml_lesson
19,O kaolahan ako ko kaciherangan,我最喜歡的是夏天,https://klokah.tw/extension/con_data/sound/3/place/3c19p1.mp3,klokah_xml_lesson
20,Miilisin,豐年祭,https://klokah.tw/extension/con_data/sound/3/place/3c20p1.mp3,klokah_xml_lesson
21,Tadamalalokay a tamdaw cingra,他是一個努力的人,https://klokah.tw/extension/con_data/sound/3/place/3c21p1.mp3,klokah_xml_lesson
22,Padangen ho,幫個忙,https://klokah.tw/extension/con_data/sound/3/place/3c22p1.mp3,klokah_xml_lesson
23,I cowa ko pitilidan iso?,你的學校在哪裡呢？,https://klokah.tw/extension/con_data/sound/3/place/3c23p1.mp3,klokah_xml_lesson
24,Ko’esit nanamen ko caciyaw no Pangcah?,阿美族語難學嗎？,https://klokah.tw/extension/con_data/sound/3/place/3c24p1.mp3,klokah_xml_lesson
25,Talacowa kamo misalama?,你們去哪裡玩？,https://klokah.tw/extension/con_data/sound/3/place/3c25p1.mp3,klokah_xml_lesson
26,Hakowa to kahalafin ko tayal iso?,你工作多久了？,https://klokah.tw/extension/con_data/sound/3/place/3c26p1.mp3,klokah_xml_lesson
27,Matiya ci ngohahay to cingra,他好像談戀愛了,https://klokah.tw/extension/con_data/sound/3/place/3c27p1.mp3,klokah_xml_lesson
28,No liteng a sakero,傳統舞蹈,https://klokah.tw/extension/con_data/sound/3/place/3c28p1.mp3,klokah_xml_lesson
29,Misacepo’,海祭,https://klokah.tw/extension/con_data/sound/3/place/3c29p1.mp3,klokah_xml_lesson
30,Pina ko kasafinacadan no Yencominco?,原住民族有幾族呢？,https://klokah.tw/extension/con_data/sound/3/place/3c30p1.mp3,klokah_xml_lesson
