roman,meanings,pos,audio_url,sources
cinamalay,火車,名詞,https://web.klokah.tw/extension/con_data/sound/3/word/cinamalay.mp3,klokah_xml_word_block
fangcal,很好,名詞,https://web.klokah.tw/extension/con_data/sound/3/word/fangcal.mp3,klokah_xml_word_block
haen,這樣,名詞,https://web.klokah.tw/extension/con_data/sound/3/word/haen.mp3,klokah_xml_word_block
hayda,順意,名詞,https://web.klokah.tw/extension/con_data/sound/3/word/hayda.mp3,klokah_xml_word_block
kailoma’an,在家,動詞,https://web.klokah.tw/extension/con_data/sound/3/word/kailoma’an.mp3,klokah_xml_word_block
katayni,請來到,動詞,https://web.klokah.tw/extension/con_data/sound/3/word/katayni.mp3,klokah_xml_word_block
kihar,煩惱,名詞,https://web.klokah.tw/extension/con_data/sound/3/word/kihar.mp3,klokah_xml_word_block
malafi,晚餐,動詞,https://web.klokah.tw/extension/con_data/sound/3/word/malafi.mp3,klokah_xml_word_block
malaholol,寒暄,動詞,https://web.klokah.tw/extension/con_data/sound/3/word/malaholol.mp3,klokah_xml_word_block
malitengay,父母親,動詞,https://web.klokah.tw/extension/con_data/sound/3/word/malitengay.mp3,klokah_xml_word_block
miliso’,探訪,動詞,https://web.klokah.tw/extension/con_data/sound/3/word/miliso’.mp3,klokah_xml_word_block
na’onen,小心；順風,名詞,https://web.klokah.tw/extension/con_data/sound/3/word/na’onen.mp3,klokah_xml_word_block
niyam,我們的,名詞,https://web.klokah.tw/extension/con_data/sound/3/word/niyam.mp3,klokah_xml_word_block
patatikol,返回,名詞,https://web.klokah.tw/extension/con_data/sound/3/word/patatikol.mp3,klokah_xml_word_block
pidadakawan,搭乘,名詞,https://web.klokah.tw/extension/con_data/sound/3/word/pidadakawan.mp3,klokah_xml_word_block
romi’ad,天；日,名詞,https://web.klokah.tw/extension/con_data/sound/3/word/romi’ad.mp3,klokah_xml_word_block
talacowa,去哪裡,名詞,https://web.klokah.tw/extension/con_data/sound/3/word/talacowa.mp3,klokah_xml_word_block
’aray,謝謝,名詞,https://web.klokah.tw/extension/con_data/sound/3/word/’aray.mp3,klokah_xml_word_block
